x0,x1,func_val
9.304848313331604004e-01,8.704699277877807617e-01,1.838985979557037354e-01
9.590619206428527832e-01,1.068214416503906250e+00,9.336412698030471802e-02
9.304749369621276855e-01,8.090036511421203613e-01,3.293222486972808838e-01
9.590691924095153809e-01,1.022088170051574707e+00,1.046123262494802475e-02
9.304655790328979492e-01,9.534414410591125488e-01,3.269143402576446533e-02
9.590760469436645508e-01,1.059384346008300781e+00,6.948789209127426147e-02
9.304568171501159668e-01,8.421399593353271484e-01,2.495924830436706543e-01
9.590825438499450684e-01,1.051123976707458496e+00,5.084258690476417542e-02
9.304484724998474121e-01,8.706666231155395508e-01,1.834685802459716797e-01
9.590886235237121582e-01,1.068304061889648438e+00,9.363709390163421631e-02
9.304407238960266113e-01,8.086528182029724121e-01,3.301829099655151367e-01
9.590943455696105957e-01,1.021736741065979004e+00,1.019765064120292664e-02
9.304333925247192383e-01,9.542874097824096680e-01,3.169072419404983521e-02
9.590997099876403809e-01,1.058715820312500000e+00,6.785687059164047241e-02
9.304265379905700684e-01,8.445360660552978516e-01,2.439207732677459717e-01
9.591047763824462891e-01,1.052871227264404297e+00,5.450795963406562805e-02
9.304200410842895508e-01,8.648266196250915527e-01,1.966954022645950317e-01
9.591095447540283203e-01,1.065464258193969727e+00,8.548849821090698242e-02
9.304139018058776855e-01,8.196241855621337891e-01,3.036407828330993652e-01
9.591140747070312500e-01,1.032319068908691406e+00,2.054480835795402527e-02
9.304080605506896973e-01,9.272369742393493652e-01,7.057955861091613770e-02
9.591183066368103027e-01,1.073606133460998535e+00,1.100864261388778687e-01
9.304026961326599121e-01,7.873747348785400391e-01,3.815915882587432861e-01
9.591222405433654785e-01,9.989435076713562012e-01,2.156350994482636452e-03
9.303976297378540039e-01,1.001904487609863281e+00,2.625594148412346840e-03
9.591259956359863281e-01,9.964953064918518066e-01,2.334247110411524773e-03
9.303928017616271973e-01,1.006209850311279297e+00,3.197397105395793915e-03
9.591295123100280762e-01,9.882284998893737793e-01,4.281011875718832016e-03
9.303882718086242676e-01,1.019659638404846191e+00,9.129349142313003540e-03
9.591328501701354980e-01,9.592148065567016602e-01,2.568241208791732788e-02
9.303839802742004395e-01,1.054544210433959961e+00,5.859155207872390747e-02
9.591360092163085938e-01,8.591381311416625977e-01,2.093331217765808105e-01
9.303799271583557129e-01,1.062348604202270508e+00,7.748639583587646484e-02
9.591389894485473633e-01,8.313264846801757812e-01,2.750203311443328857e-01
9.303761720657348633e-01,1.042612314224243164e+00,3.557348996400833130e-02
9.591417312622070312e-01,8.976706266403198242e-01,1.251116245985031128e-01
9.303726553916931152e-01,1.076244354248046875e+00,1.193092390894889832e-01
9.591442942619323730e-01,7.763946056365966797e-01,4.074637889862060547e-01
9.303693771362304688e-01,9.861524105072021484e-01,5.519567988812923431e-03
9.591467380523681641e-01,1.022779941558837891e+00,1.103543210774660110e-02
9.303662180900573730e-01,9.517661333084106445e-01,3.476898744702339172e-02
9.591490626335144043e-01,1.060667634010314941e+00,7.272289693355560303e-02
9.303632378578186035e-01,8.374965786933898926e-01,2.606804072856903076e-01
